¿Dónde está el baño?	Where is the bathroom?
¿Dónde está la estación de tren?	Where is the train station?
¿Dónde está la estación de autobuses?	Where is the bus station?
¿Dónde está el aeropuerto?	Where is the airport?
¿Dónde está la parada de autobús?	Where is the bus stop?
¿Dónde está la estación de metro?	Where is the subway station?
¿Dónde está la parada de taxis?	Where is the taxi stand?
¿Dónde está el hotel?	Where is the hotel?
¿Dónde está el hostal?	Where is the hostel?
¿Dónde está la recepción?	Where is the reception?
¿Dónde está el centro de información turística?	Where is the tourist information center?
¿Dónde está la embajada?	Where is the embassy?
¿Dónde está el mostrador de información?	Where is the information desk?
¿Dónde está el consulado?	Where is the consulate?
¿Dónde está la estación de policía?	Where is the police station?
¿Dónde está la clínica?	Where is the clinic?
¿Dónde está la farmacia?	Where is the pharmacy?
¿Dónde está el hospital?	Where is the hospital?
¿Dónde está el dentista?	Where is the dentist?
¿Dónde está el doctor?	Where is the doctor?
¿Dónde está la biblioteca?	Where is the library?
¿Dónde está el museo?	Where is the museum?
¿Dónde está la galería de arte?	Where is the art gallery?
¿Dónde está el teatro?	Where is the theater?
¿Dónde está el cine?	Where is the movie theater?
¿Dónde está el parque?	Where is the park?
¿Dónde está el parque infantil?	Where is the playground?
¿Dónde está el estadio?	Where is the stadium?
¿Dónde está la playa?	Where is the beach?
¿Dónde está el banco?	Where is the bank?
¿Dónde está el cajero automático?	Where is the ATM?
¿Dónde está el supermercado?	Where is the supermarket?
¿Dónde está la tienda de comestibles?	Where is the grocery store?
¿Dónde está la tienda de conveniencia?	Where is the convenience store?
¿Dónde está la panadería?	Where is the bakery?
¿Dónde está el carnicero?	Where is the butcher?
¿Dónde está el mercado?	Where is the market?
¿Dónde está el centro comercial?	Where is the shopping mall?
¿Dónde está el almacén de departamentos?	Where is the department store?
¿Dónde está la oficina de correos?	Where is the post office?
¿Dónde está el juzgado?	Where is the courthouse?
¿Dónde está la universidad?	Where is the university?
¿Dónde está el ayuntamiento?	Where is the town hall?
¿Dónde está la escuela?	Where is the school?
¿Dónde está el aula?	Where is the classroom?
¿Dónde está la cafetería?	Where is the coffee shop?
¿Dónde está el restaurante?	Where is the restaurant?
¿Dónde está el café?	Where is the coffee?
¿Dónde está la barra?	Where is the bar?
¿Dónde está el estacionamiento?	Where is the parking lot?
¿Dónde está la gasolinera?	Where is the gas station?
¿Dónde está la estación de carga?	Where is the charging station?
¿Dónde está la renta de autos?	Where is the car rental?
¿Dónde está la entrada?	Where is the entrance?
¿Dónde está la salida?	Where is the exit?
¿Dónde está el ascensor?	Where is the elevator?
¿Dónde están las escaleras?	Where are the stairs?
¿Dónde está la taquilla?	Where is the ticket booth?
¿Dónde está el reclamo de equipaje?	Where is the baggage claim?
¿Dónde está el punto de control de seguridad?	Where is the security checkpoint?
¿Dónde está la aduana?	Where is customs?
¿Dónde está la puerta de embarque?	Where is the boarding gate?
¿Dónde está la inmigración?	Where is immigration?
¿Dónde está la oficina de equipajes?	Where is the baggage office?
¿Dónde está el puente?	Where is the bridge?
¿Dónde está el templo?	Where is the temple?
¿Dónde está la mezquita?	Where is the mosque?
¿Dónde está el campamento?	Where is the camp?
¿Dónde está la sinagoga?	Where is the synagogue?
¿Dónde está el parque de atracciones?	Where is the amusement park?
¿Dónde está el acuario?	Where is the aquarium?
¿Dónde está la barbería?	Where is the barbershop?
¿Dónde está el gimnasio?	Where is the gym?
¿Dónde está el mirador?	Where is the viewpoint?
¿Dónde está el spa?	Where is the spa?
¿Dónde está la iglesia?	Where is the church?
¿Dónde está el punto de encuentro?	Where is the meeting point?
¿Dónde está la peluquería?	Where is the barbershop?
¿Dónde está la catedral?	Where is the cathedral?
¿Dónde está el zoológico?	Where is the zoo?
¿Dónde está la caja de la farmacia?	Where is the pharmacy's box?
¿Dónde está el río?	Where is the river?
¿Dónde está la ropa sucia?	Where is the dirty laundry?
¿Dónde está el terminal de autobuses?	Where is the bus terminal?
¿Dónde está el receptor?	Where is the receiver?
¿Dónde está la exposición?	Where is the exhibition?
¿Dónde está la clínica dental?	Where is the dental clinic?
¿Dónde está la comisaría?	Where is the police station?
¿Dónde está la carnicería?	Where is the butcher shop?
¿Dónde está la casa comercial?	Where is the commercial building?
¿Dónde está la alcaldía?	Where is the city hall?
¿Dónde está la tienda?	Where is the store?
¿Dónde está el tribunal?	Where is the courthouse?
¿Dónde está la tienda de venta de carteles?	Where is the poster shop?
¿Dónde está el lugar para recoger el equipaje?	Where is the baggage claim area?
¿Dónde está el equipo de inspección de seguridad?	Where is the safety inspection team?
¿Dónde está el bar?	Where is the bar?
¿Dónde está la oficina de inmigración?	Where is the immigration office?
¿Dónde está el roquero?	Where is the rocker?
¿Dónde está el mostrador de la farmacia?	Where is the pharmacy counter?
¿Dónde está la ropa?	Where is the clothes?
¿Dónde está la oficina?	Where is the office?
¿Dónde están las piernas?	Where are the legs?
¿Dónde está la sala de reuniones?	Where is the meeting room?
¿Dónde está el camping?	Where is the campground?
¿Dónde está el monasterio?	Where is the monastery?
¿Dónde está la estación de trenes?	Where is the train station?
¿Dónde está la spa?	Where is the spa?
¿Dónde está la central de información?	Where is the information center?
¿Dónde está el centro de información para turistas?	Where is the tourist information center
¿Dónde está el museo de arte?	Where is the art museum?
¿Dónde hay una tienda de departamentos?	Where is a department store?
¿Dónde está el comedor?	Where is the dining room?
¿Dónde hay una agencia de alquiler de coches?	Where is a car rental agency?
¿Dónde está el control de seguridad?	Where is the security control?
¿Dónde está el locker?	Where is the locker?
¿Dónde está el mostrador de reclamo de equipaje?	Where is the baggage claim counter?
¿Dónde está el depósito de equipaje?	Where is the baggage claim?
¿Dónde está la plataforma de observación?	Where is the observation platform?
¿Dónde está la lavadora?	Where is the washing machine?
¿Dónde se llevará a cabo la reunión?	Where will the meeting be held?
¿Dónde hay aguas termales?	Where are the hot springs?
¿Dónde está la estación de información?	Where is the information desk?
¿Dónde está el alquiler de coches?	Where is the car rental?
¿Dónde están las maletas?	Where are the suitcases?
¿Dónde está su bandeja de entrada?	Where is your inbox?
¿Dónde está la librería?	Where is the bookstore?
¿Dónde está el casillero?	Where is the mailbox?
¿Dónde está la estación de inspección de seguridad?	Where is the security inspection station
¿Dónde está el mostrador de equipajes?	Where is the baggage claim counter?
¿Dónde está la torre de vigilancia?	Where is the watchtower?
¿Dónde están las camisas?	Where are the shirts?
¿Dónde está el centro de spa?	Where is the spa center?
