¿Dónde está el baño?	トイレ は どこ です か?
¿Dónde está el aeropuerto?	空港 は どこ です か?
¿Dónde está la estación de tren?	電車 の 駅 は どこ です か?
¿Dónde está la estación de autobuses?	バス 停 は どこ です か?
¿Dónde está la parada de autobús?	バス 停 は どこ です か?
¿Dónde está la estación de metro?	地下 鉄 は どこ です か?
¿Dónde está la parada de taxis?	タクシー のりば は どこ です か?
¿Dónde está el hotel?	ホテル は どこ です か?
¿Dónde está el hostal?	ホステル は どこ です か?
¿Dónde está la recepción?	受付 は どこ です か?
¿Dónde está el mostrador de información?	情報 カウンター は どこ です か?
¿Dónde está el centro de información turística?	観光 案内 所 は どこ です か?
¿Dónde está la embajada?	大使 館 は どこ です か?
¿Dónde está el consulado?	領事 館 は どこ です か?
¿Dónde está la estación de policía?	警察 署 は どこ です か?
¿Dónde está el hospital?	病院 は どこ です か?
¿Dónde está la clínica?	診療 所 は どこ です か?
¿Dónde está la farmacia?	薬局 は どこ です か?
¿Dónde está el dentista?	歯 医者 さん は どこ です か?
¿Dónde está el doctor?	医師 は どこ です か?
¿Dónde está la biblioteca?	図書 館 は どこ です か?
¿Dónde está el museo?	美術 館 は どこ です か?
¿Dónde está la galería de arte?	美術 館 は どこ です か?
¿Dónde está el teatro?	劇場 は どこ です か?
¿Dónde está el cine?	映画 は どこ です か?
¿Dónde está el parque?	公園 は どこ です か?
¿Dónde está el parque infantil?	公園 は どこ です か?
¿Dónde está el estadio?	スタジアム は どこ です か?
¿Dónde está la playa?	ビーチ は どこ です か?
¿Dónde está el banco?	銀行 は どこ です か?
¿Dónde está el cajero automático?	自動 販売 機 は どこ です か?
¿Dónde está el supermercado?	スーパーマーケット は どこ です か?
¿Dónde está la tienda de comestibles?	食料 品 店 は どこ です か?
¿Dónde está la tienda de conveniencia?	コンビニ は どこ です か?
¿Dónde está la panadería?	パン 屋 は どこ です か?
¿Dónde está el carnicero?	肉屋 さん は どこ です か?
¿Dónde está el mercado?	市場 は どこ です か?
¿Dónde está el centro comercial?	ショッピング センター は どこ です か?
¿Dónde está el almacén de departamentos?	デパート は どこ です か?
¿Dónde está la oficina de correos?	郵便 局 は どこ です か?
¿Dónde está el ayuntamiento?	市 役所 は どこ です か?
¿Dónde está el juzgado?	裁判 所 は どこ です か?
¿Dónde está la universidad?	大学 は どこ です か?
¿Dónde está la escuela?	学校 は どこ です か?
¿Dónde está el aula?	教室 は どこ です か?
¿Dónde está la cafetería?	カフェ は どこ です か?
¿Dónde está el restaurante?	レストラン は どこ です か?
¿Dónde está el café?	コーヒー は どこ です か?
¿Dónde está la barra?	バー は どこ です か?
¿Dónde está el estacionamiento?	駐車 場 は どこ です か?
¿Dónde está la gasolinera?	ガソリン スタンド は どこ です か?
¿Dónde está la estación de carga?	充電 ステーション は どこ です か?
¿Dónde está la renta de autos?	レンタカー は どこ です か?
¿Dónde está la entrada?	入り口 は どこ です か?
¿Dónde está la salida?	出口 は どこ です か?
¿Dónde está el ascensor?	エレベーター は どこ です か?
¿Dónde están las escaleras?	階段 は どこ です か?
¿Dónde está la taquilla?	チケット は どこ です か?
¿Dónde está la puerta de embarque?	搭乗 口 は どこ です か?
¿Dónde está el reclamo de equipaje?	荷物 の 預け入れ は どこ です か?
¿Dónde está el punto de control de seguridad?	セキュリティ チェックポイント は どこ です か?
¿Dónde está la aduana?	税関 は どこ です か?
¿Dónde está la inmigración?	移民 は どこ です か?
¿Dónde está la oficina de equipajes?	荷物 の 預かり 場所 は どこ です か?
¿Dónde está el puente?	橋 は どこ です か?
¿Dónde está el templo?	お 寺 は どこ です か?
¿Dónde está la mezquita?	どこ に ある 清真 寺 です か?
¿Dónde está el campamento?	キャンプ は どこ です か?
¿Dónde está la sinagoga?	シナゴーガ は どこ です か?
¿Dónde está el gimnasio?	ジム は どこ です か?
¿Dónde está el parque de atracciones?	遊園 地 は どこ です か?
¿Dónde está el acuario?	水族 館 は どこ です か?
¿Dónde está el mirador?	見晴らし は どこ です か?
¿Dónde está el spa?	スパ は どこ です か?
¿Dónde está la iglesia?	教会 は どこ です か?
¿Dónde está el punto de encuentro?	待ち合わせ は どこ です か?
¿Dónde está la barbería?	理髪 店 は どこ です か?
¿Dónde está la peluquería?	美容 院 は どこ です か?
¿Dónde está la catedral?	カテドラル は どこ です か?
¿Dónde está el zoológico?	動物 園 は どこ です か?
¿Dónde está la ropa sucia?	どこ に お 洗濯 物 は あり ます か?
¿Dónde está el terminal de autobuses?	バス 停 は どこ です か?
¿Dónde está el receptor?	受信 者 は どこ です か?
¿Dónde está la caja de la farmacia?	薬屋 の 箱 は どこ です か?
¿Dónde está el río?	川 は どこ です か?
¿Dónde está la exposición?	展示 は どこ です か?
¿Dónde está la clínica dental?	歯科 クリニック は どこ です か?
¿Dónde está la comisaría?	交番 は どこ です か?
¿Dónde está la carnicería?	肉屋 は どこ です か?
¿Dónde está la tienda?	お 店 は どこ です か?
¿Dónde está la casa comercial?	商業 施設 は どこ です か?
¿Dónde está la alcaldía?	市 役所 は どこ です か?
¿Dónde está el tribunal?	裁判 所 は どこ です か?
¿Dónde está el bar?	バー は どこ です か?
¿Dónde está la tienda de venta de carteles?	ポスター の 販売 店 は どこ です か?
¿Dónde está el lugar para recoger el equipaje?	荷物 を 預ける 場所 は どこ です か?
¿Dónde está el equipo de inspección de seguridad?	安全 検査 の チーム は どこ です か?
¿Dónde está la oficina de inmigración?	移民 局 は どこ です か?
¿Dónde está el roquero?	ロッカー は どこ です か?
¿Dónde está el mostrador de la farmacia?	薬局 の カウンター は どこ です か?
¿Dónde está la ropa?	服 は どこ です か?
¿Dónde está la oficina?	どこ に あり ます か？?
¿Dónde están las piernas?	足 の どこ です か?
¿Dónde está la sala de reuniones?	会議 室 は どこ です か?
¿Dónde está el camping?	キャンプ は どこ です か?
¿Dónde está la spa?	どこ に ある スパ です か?
¿Dónde está el monasterio?	修道 院 は どこ です か?
¿Dónde está la estación de trenes?	電車 の 駅 は どこ です か?
¿Dónde está la central de información?	情報 センター は どこ です か?
¿Dónde está el centro de información para turistas?	観光 客 向け の インフォメーション センター は どこ です か
¿Dónde está el museo de arte?	美術 館 は どこ です か?
¿Dónde hay una tienda de departamentos?	デパート は どこ に あり ます か?
¿Dónde está el comedor?	食堂 は どこ です か?
¿Dónde hay una agencia de alquiler de coches?	車 rentals の お 店 は どこ です か?
¿Dónde está el mostrador de reclamo de equipaje?	荷物 の クレーム カウンター は どこ です か?
¿Dónde está el control de seguridad?	セキュリティ コントロール は どこ です か?
¿Dónde está el locker?	ロッカー は どこ です か?
¿Dónde está el depósito de equipaje?	荷物 の 預かり 場所 は どこ です か?
¿Dónde está la plataforma de observación?	観覧 プラットフォーム は どこ です か?
¿Dónde está la lavadora?	洗濯 機 は どこ です か?
¿Dónde se llevará a cabo la reunión?	会議 は、どこ で 開催 さ れ ます か?
¿Dónde está la estación de información?	情報 カウンター は どこ です か?
¿Dónde está su bandeja de entrada?	どこ に 入力 箱 が あり ます か?
¿Dónde está el alquiler de coches?	レンタカー は どこ です か?
¿Dónde están las maletas?	スーツケース は どこ です か?
¿Dónde hay aguas termales?	温泉 は どこ です か?
¿Dónde está la librería?	書店 は どこ です か?
¿Dónde está el casillero?	どこ です か？?
¿Dónde está la estación de inspección de seguridad?	安全 検査 の 駅 は どこ です か
¿Dónde están las camisas?	シャツ は どこ です か?
¿Dónde está el mostrador de equipajes?	荷物 の カウンター は どこ です か?
¿Dónde está la torre de vigilancia?	見張り 塔 は どこ です か?
¿Dónde está el centro de spa?	スパ センター は どこ です か?
